execucao,metodo_crossover,melhor_fitness
1,ox,0.000181422351233672
2,ox,0.00018688095683049897
3,ox,0.0001834862385321101
4,ox,0.00018688095683049897
5,ox,0.00018688095683049897
6,ox,0.00018535681186283596
7,ox,0.00018315018315018315
8,ox,0.00018132366273798732
9,ox,0.00018321729571271528
10,ox,0.00018321729571271528
11,ox,0.0001807991321641656
12,ox,0.00018315018315018315
13,ox,0.0001840264998159735
14,ox,0.00018688095683049897
15,ox,0.00018535681186283596
16,ox,0.00018535681186283596
17,ox,0.00018315018315018315
18,ox,0.00018171906232963838
19,ox,0.00018315018315018315
20,ox,0.00018688095683049897
