execucao,metodo_crossover,melhor_fitness
1,pmx,0.00018231540565177758
2,pmx,0.00018688095683049897
3,pmx,0.0001841959845275373
4,pmx,0.00018535681186283596
5,pmx,0.00018132366273798732
6,pmx,0.00018535681186283596
7,pmx,0.0001841959845275373
8,pmx,0.00018688095683049897
9,pmx,0.00018688095683049897
10,pmx,0.0001840264998159735
11,pmx,0.00018688095683049897
12,pmx,0.00018688095683049897
13,pmx,0.000182882223847842
14,pmx,0.00018535681186283596
15,pmx,0.00018535681186283596
16,pmx,0.0001840264998159735
17,pmx,0.00018688095683049897
18,pmx,0.00018688095683049897
19,pmx,0.00018535681186283596
20,pmx,0.00018535681186283596
