execucao,metodo_elitismo,melhor_fitness
1,top,0.00019051247856734617
2,top,0.00019135093761959434
3,top,0.00019051247856734617
4,top,0.00019011406844106463
5,top,0.00019036740909956216
6,top,0.00019007793195210037
7,top,0.00019135093761959434
8,top,0.0001897893338394382
9,top,0.00019007793195210037
10,top,0.0001889644746787604
11,top,0.0001893580761219466
12,top,0.00019036740909956216
13,top,0.00019051247856734617
14,top,0.0001893580761219466
15,top,0.0001897893338394382
16,top,0.00019022256039566293
17,top,0.00019007793195210037
18,top,0.0001899335232668566
19,top,0.0001897893338394382
20,top,0.00018758206715438003
