execucao,metodo_mutacao,melhor_fitness
1,inversao,0.00017834849295523454
2,inversao,0.00017507002801120448
3,inversao,0.00017768301350390902
4,inversao,0.000180635838150289
5,inversao,0.000180635838150289
6,inversao,0.00017708517797060386
7,inversao,0.00018076644974692697
8,inversao,0.00017914725904693657
9,inversao,0.00017917935853789643
10,inversao,0.00017587055926837847
11,inversao,0.0001802776275464215
12,inversao,0.00017988846914912754
13,inversao,0.00017571604287471446
14,inversao,0.00018076644974692697
15,inversao,0.00017806267806267807
16,inversao,0.00017661603673613564
17,inversao,0.00018076644974692697
18,inversao,0.00017959770114942528
19,inversao,0.00018050541516245486
20,inversao,0.00017917935853789643
