execucao,metodo_mutacao,melhor_fitness
1,swap,0.0001811922449719152
2,swap,0.0001783166904422254
3,swap,0.00017699115044247788
4,swap,0.00018050541516245486
5,swap,0.000178826895565093
6,swap,0.0001811922449719152
7,swap,0.00018050541516245486
8,swap,0.00018050541516245486
9,swap,0.00018050541516245486
10,swap,0.0001811922449719152
11,swap,0.00017828489926903192
12,swap,0.00017793594306049823
13,swap,0.00018050541516245486
14,swap,0.00017655367231638418
15,swap,0.0001811922449719152
16,swap,0.0001763979537837361
17,swap,0.00018050541516245486
18,swap,0.0001811922449719152
19,swap,0.0001783166904422254
20,swap,0.00018050541516245486
